Class,Name,Latitude,Longitude,Circumference_cm,dbh_cm,Tree_height_m,Notes
Monday PM,Waroona,-33.89247,151.23736,260,82.8,30.8,
Tuesday,Waroona,-33.89239,151.23727,260,82.8,22.3,
Tuesday,Waroona,-33.8925,151.23738,279,88.8,13.4,
Monday AM,Waroona,-33.89229,151.23716,212,67.5,12.0,
Not recorded,Warrnambool,-33.89268,151.23734,44,14.0,13.8,
Tuesday,Warrnambool,-33.89253,151.23723,45,14.3,13.2,
Tuesday,Warrnambool,-33.89236,151.23742,45,14.3,12.5,
Monday AM,Warrnambool,-33.89276,151.23718,43,13.7,10.7,
Monday PM,Warrnambool,-33.89247,151.23723,45,14.3,10.2,
Monday PM,Warrnambool,-33.89249,151.23732,50,15.9,7.2,
Monday PM,Warrnambool,-33.89253,151.23711,45,14.3,6.9,
Not recorded,Wickham,-33.89352,151.23696,50,15.9,19.3,
Tuesday,Wickham,-33.89257,151.23717,49,15.6,15.9,
Monday PM,Wickham,-33.89251,151.23734,47,15.0,15.5,
Monday PM,Wickham,-33.89261,151.23731,50,15.9,14.0,
Not recorded,Wickham,-33.89258,151.23727,48.8,15.5,13.7,
Monday AM,Wickham,-33.8926,151.23725,49,15.6,13.7,
Monday PM,Wickham,-33.89262,151.23728,57,18.1,7.8,
Monday PM,Wollombi,-33.89292,151.23655,55,17.5,17.6,
Tuesday,Wollombi,-33.89284,151.23649,58,18.5,13.8,
Tuesday,Wollombi,-33.89286,151.2366,50,15.9,13.5,
Monday AM,Wollombi,-33.89289,151.23652,51,16.2,12.9,
Monday PM,Wollombi,-33.89289,151.23649,56,17.8,11.5,
Monday AM,Wollombi,-33.89293,151.23655,55,17.5,11.4,
Monday AM,Wollombi,-33.8929,151.23651,55,17.5,10.7,
Tuesday,Wollombi,-33.89297,151.23651,53,16.9,9.1,
Monday AM,Wollongong,-33.89303,151.23667,114,36.3,26.1,
Tuesday,Wollongong,-33.89293,151.23659,112,35.7,19.3,
Tuesday,Wollongong,-33.89296,151.2366,50,15.9,12.8,
Monday AM,Yankalilla,-33.89264,151.23688,220,70.0,30.3,
Not recorded,Yankalilla,-33.89261,151.23672,22,7.0,27.5,
Tuesday,Yankalilla,-33.89266,151.23676,222,70.7,25.0,
Tuesday,Yass,-33.89255,151.23742,49,15.6,13.0,
Monday AM,Yass,-33.89258,151.2373,50,15.9,8.2,
Monday AM,York,-33.89252,151.23676,214,68.1,31.0,
Monday PM,York,-33.89264,151.23687,198,63.0,20.2,
